Unnamed: 0,method,year,month,day,site,zone,transect,classcode,count,size,depth,latitude,longitude,MPA_Name,mpa_type,site_status,time,sst
37766,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,INNER,2,LAMSETAD,68,,6.0,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37767,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,INNER,2,NERLUE,5,,6.0,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37768,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,INNER,2,NERLUEJUV,16,,6.0,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37769,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,INNER,2,PTECALAD,2,,6.0,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37770,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,INNER,2,PTECALJUV,6,,6.0,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37771,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,1,EISARBAD,130,,14.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37772,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,1,LAMREC,28,,14.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37773,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,1,LAMSETAD,1,,14.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37774,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,1,MACPYRJUV,4,,14.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37775,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,1,STEOSMAD,7,,14.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37776,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,2,EISARBAD,87,,13.9,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37777,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,2,LAMREC,16,,13.9,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37778,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,2,LAMSETAD,3,,13.9,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37779,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,2,PTECALAD,3,,13.9,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37780,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,MID,2,STEOSMAD,5,,13.9,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37781,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,OUTER,2,EISARBAD,3,,20.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37782,SBTL_SWATH_PISCO,2024,7,9,CYPRESS_PT_DC,OUTER,2,STEOSMAD,1,,20.1,36.579645,-121.982468,Carmel Bay SMCA,SMCA,reference,2024-07-09,13.73599999999999
37783,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,1,ALAMAR,43,,4.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37784,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,1,LAMSETAD,380,,4.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37785,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,1,NERLUE,9,,4.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37786,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,1,PTECALAD,40,,4.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37787,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,1,STEOSMAD,28,,4.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37788,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,2,LAMSETAD,34,,4.6,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37789,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,2,MACPYRAD,1,2.0,4.6,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37790,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,2,NERLUE,8,,4.6,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37791,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,2,PTECALAD,16,,4.6,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37792,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,INNER,2,STEOSMAD,20,,4.6,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37793,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,LAMSETAD,2,,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37794,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,MACPYRAD,1,2.0,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37795,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,MACPYRAD,1,6.0,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37796,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,MACPYRAD,1,57.0,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37797,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,MACPYRAD,1,60.0,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37798,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,MACPYRAD,1,98.0,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37799,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,NERLUE,3,,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37800,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,PTECALAD,1165,,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37801,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,PTECALJUV,30,,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37802,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,1,STEOSMAD,173,,13.9,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37803,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,2,PTECALAD,43,,13.7,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37804,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,2,PTECALJUV,1,,13.7,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37805,SBTL_SWATH_PISCO,2024,7,10,LONE_TREE,MID,2,STEOSMAD,207,,13.7,36.566418,-121.970688,Carmel Bay SMCA,SMCA,reference,2024-07-10,13.795000000000016
37806,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,1,LAMREC,3,,5.0,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37807,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,1,LAMSETAD,30,,5.0,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37808,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,1,NERLUE,3,,5.0,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37809,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,1,PTECALAD,12,,5.0,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37810,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,1,PTECALJUV,1,,5.0,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37811,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,1,STEOSMAD,14,,5.0,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37812,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,2,LAMSETAD,92,,5.4,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37813,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,2,NERLUE,3,,5.4,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37814,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,2,PTECALAD,29,,5.4,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37815,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,INNER,2,STEOSMAD,21,,5.4,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37816,SBTL_SWATH_PISCO,2024,7,11,BUTTERFLY_DC,MID,1,STEOSMAD,70,,13.8,36.537439,-121.93567,Carmel Bay SMCA,SMCA,mpa,2024-07-11,13.731999999999971
37817,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,INNER,1,MACPYRAD,1,46.0,5.4,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37818,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,INNER,1,STEOSMAD,5,,5.4,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37819,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,INNER,2,MACPYRREC,1,,5.9,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37820,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,INNER,2,STEOSMAD,3,,5.9,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37821,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,1,LAMREC,251,,10.0,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37822,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,1,MACPYRJUV,386,,10.0,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37823,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,1,MACPYRREC,95,,10.0,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37824,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,LAMREC,19,,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37825,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,28,1.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37826,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,27,2.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37827,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,7,3.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37828,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,2,4.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37829,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,8,5.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37830,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,2,6.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37831,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,1,9.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37832,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,1,10.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37833,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,1,11.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37834,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,1,12.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37835,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,2,13.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37836,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,2,17.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37837,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,2,18.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37838,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRAD,1,33.0,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37839,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRJUV,7,,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37840,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,MACPYRREC,105,,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37841,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,MID,2,STEOSMAD,216,,9.7,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37842,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,OUTER,1,MACPYRREC,1,,16.0,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37843,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,OUTER,2,MACPYRAD,1,42.0,15.9,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37844,SBTL_SWATH_PISCO,2024,7,19,MACABEE_UC,OUTER,2,STEOSMAD,5,,15.9,36.617148,-121.895695,Lovers Point - Julia Platt SMR,SMR,reference,2024-07-19,15.442999999999984
37845,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,LAMREC,2,,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37846,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,6,1.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37847,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,7,2.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37848,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,4,3.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37849,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,6,4.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37850,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,3,5.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37851,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,3,6.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37852,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,2,7.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37853,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,2,8.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37854,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,3,9.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37855,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,2,11.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37856,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,2,13.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37857,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,2,14.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37858,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,1,16.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37859,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,2,17.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37860,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,1,18.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37861,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,1,21.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37862,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,1,24.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37863,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRAD,1,38.0,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37864,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRJUV,8,,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37865,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,MACPYRREC,45,,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37866,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,NERLUE,8,,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
37867,SBTL_SWATH_PISCO,2024,7,22,STILLWATER_DC,INNER,1,PTECALJUV,1,,4.7,36.559729,-121.944014,Carmel Bay SMCA,SMCA,mpa,2024-07-22,15.682000000000016
